STATE,TOTAL_POPULATION,VEHICLE_2009,VEHICLE_2010,VEHICLE_2011,VEHICLE_2012,VEHICLE_2013,VEHICLE_2014,VEHICLE_2015,IIP_2005,IIP_2006,IIP_2007,IIP_2008,IIP_2009,IIP_2010,IIP_2011,IIP_2012,IIP_2013,IIP_2014,IIP_2015,IIP_2016,IIP_2017,IIP_2018,AFOLU_2005,AFOLU_2006,AFOLU_2007,AFOLU_2008,AFOLU_2009,AFOLU_2010,AFOLU_2011,AFOLU_2012,AFOLU_2013,AFOLU_2014,AFOLU_2015,AFOLU_2016,AFOLU_2017,AFOLU_2018,WASTE_2005,WASTE_2006,WASTE_2007,WASTE_2008,WASTE_2009,WASTE_2010,WASTE_2011,WASTE_2012,WASTE_2013,WASTE_2014,WASTE_2015,WASTE_2016,WASTE_2017,WASTE_2018,NSDP_2024_25,NSDP_2023_24
PUDUCHERRY,1244464,1091231,1204156,1350722,1504735,1668913,1818284,1972354,37.63516514,27.14376743,405.154784,267.7707117,54.0104062,126.554572,97.6878693,70.9302337,1230.382239,587.1471618,3976.779796,7617.694176,7723.508094,1873.123483,-5326.858516,-5326.858516,-5326.858516,-5326.858516,-5326.858516,-5326.858516,-5326.858516,-125825.1163,-125825.1163,-125825.1163,-125825.1163,-125825.1163,-125825.1163,-125825.1163,16479.05162,16914.3482,17349.64479,17925.43543,19723.62884,20196.40553,22194.64603,22851.79321,23508.94038,24166.08755,24823.23473,25900.48191,26587.53599,27284.4932,309714,291887
PUNJAB,27704236,9996,10095,11224,12390,22033,17816,20760,29.60761637,324.7298653,239.3695885,144.5412076,63.04096435,9.921363139,0,5098.350722,6358.883743,1874.751879,444.3411746,677.7620219,188.4608167,0,-714780.5232,-714780.5232,-714780.5232,-714780.5232,-714780.5232,-714780.5232,-714780.5232,-822616.7415,-822616.7415,-822616.7415,-822616.7415,-822616.7415,-822616.7415,-822616.7415,180584.2686,184072.169,187560.0694,196389.3348,198079.1509,201594.7081,314742.332,320592.4436,326442.5551,332292.6667,338142.7783,308204.189,313649.8891,319126.0492,244527,290297.0385
RAJASTHAN,68621012,92437,108326,131862,154529,175606,200726,226044,143.8092792,39.19077912,1165.664433,774.8537164,139.4467776,173.4329266,56.66603202,0,1061.043502,353.6811673,35639.77063,11879.92354,0,0,-3553468.994,-3553468.994,-3553468.994,-3553468.994,-3553468.994,-3553468.994,-3553468.994,-3957086.508,-3957086.508,-3957086.508,-3957086.508,-3957086.508,-3957086.508,-3957086.508,297075.2338,304031.5276,310987.8215,317021.5093,318172.8714,324975.7733,388198.9189,398060.7084,407922.4979,417784.2874,427646.0769,440217.3402,450296.9805,460460.2628,206822,186610
SIKKIM,607688,120425,133717,149869,167544,184631,199647,216414,9818.374599,11212.08137,7116.171132,4896.372853,3438.177132,21981.09642,36417.00326,30595.78225,54432.75945,38201.42591,17012.15481,10244.46424,12217.07713,3287.992625,-9721.901421,-9721.901421,-9721.901421,-9721.901421,-9721.901421,-9721.901421,-9721.901421,-132148.7299,-132148.7299,-132148.7299,-132148.7299,-132148.7299,-132148.7299,-132148.7299,1737.082673,1837.171764,1937.260855,2037.349946,2269.884754,2379.178498,3332.056051,3588.586209,3845.116367,4101.646525,4358.176682,4526.238441,4782.279176,5038.612703,279849.1875,707179
TAMIL NADU,68915255,154803,174320,201269,227386,239655,166313,191006,20.49655366,3.782670251,95.06027202,360.2124643,343.2787088,2301.388127,749.6431431,2.828823429,0,0,0,568.6998109,14053.53657,4621.323321,-1444195.61,-1444195.61,-1444195.61,-1444195.61,-1444195.61,-1444195.61,-1444195.61,-1413716.813,-1413716.813,-1413716.813,-1413716.813,-1413716.813,-1413716.813,-1413716.813,568318.3539,579391.699,590465.044,597371.3479,631216.2937,642738.638,709785.4743,724854.8755,739924.2766,754993.6777,770063.0788,781466.2709,787360.8665,793344.6895,401848,290297.0385
TELANGANA,35286757,64631,69813,76678,85418,65016,70864,76547,0,0,0,0,0,0,0,0,0,81809.59046,30122.63747,18070.57083,6525.174701,272.8753262,0,0,0,0,0,0,0,0,0,-1238420.728,-1238420.728,-1238420.728,-1238420.728,-1238420.728,0,0,0,0,0,0,0,0,0,324002.2875,331637.1038,346677.6514,354406.643,362135.6346,420348,383536
TRIPURA,3671032,385321.2813,428515.7188,497651.5484,565338.2903,717431,796232,878981,9818.374599,11212.08137,7116.171132,4896.372853,3438.177132,21981.09642,36417.00326,30595.78225,54432.75945,38201.42591,17012.15481,10244.46424,12217.07713,3287.992625,-35777.62562,-35777.62562,-35777.62562,-35777.62562,-35777.62562,-35777.62562,-35777.62562,-146016.4782,-146016.4782,-146016.4782,-146016.4782,-146016.4782,-146016.4782,-146016.4782,13575.94182,14102.47907,14629.01632,15155.55356,16684.51218,17258.49377,21354.12185,22327.44294,23300.76404,24274.08513,25247.40622,26217.54058,27195.47324,28175.74989,279849.1875,290297.0385
UTTAR PRADESH,199581477,775569,873251,984937,1108100,1205374,1423020,1572217,82.11697142,107.9020819,48.53346814,6.899149259,1.327204766,22.33792981,45.44459576,12.71536212,0,0,3441.349317,1304.022817,3686.787156,1211.49501,-3078372.326,-3078372.326,-3078372.326,-3078372.326,-3078372.326,-3078372.326,-3078372.326,-3240842.963,-3240842.963,-3240842.963,-3240842.963,-3240842.963,-3240842.963,-3240842.963,748491.3016,765843.2268,783195.1521,804516.6643,766669.394,782797.1,991906.8638,1016202.494,1040498.123,1064793.753,1089089.383,1103017.806,1127520.128,1152222.85,279849.1875,108097
UTTARAKHAND,10116752,98355,119859,147591,188152,227596,260649,294481,14.56216273,782.9254273,517.0962306,85.91303542,0,0,0,0,30226.78035,10140.26067,21.55574001,0,0,0,-176839.8187,-176839.8187,-176839.8187,-176839.8187,-176839.8187,-176839.8187,-176839.8187,-297205.0971,-297205.0971,-297205.0971,-297205.0971,-297205.0971,-297205.0971,-297205.0971,50010.58353,51388.56318,52766.54283,54144.52248,52617.50201,53907.55588,70741.46677,72871.31385,75001.16093,77131.00801,79260.85509,81297.57551,83448.84878,85611.73561,319895,290297.0385
WEST BENGAL,91857445,560875,435352,492454,575085,877588,938271,1001618,11473.81404,18600.96814,20482.96007,10590.62407,19673.59431,288092.2215,338355.2572,305673.6055,210276.9973,136955.4739,80437.05709,69775.62985,53268.86617,11849.52274,-892022.274,-892022.274,-892022.274,-892022.274,-892022.274,-892022.274,-892022.274,-972325.7965,-972325.7965,-972325.7965,-972325.7965,-972325.7965,-972325.7965,-972325.7965,517898.8242,528170.8988,538442.9734,548707.8188,544177.3567,554093.9007,641745.0826,655456.4534,669167.8243,682879.1952,696590.566,712315.0098,726181.7688,740113.6105,181786,290297.0385
